emission_rate,steady_T,steady_CO2,steady_C_active,steady_C_deep
8.053691275167786046e+00,-4.538279394731949878e+01,9.966842640898654508e+02,2.688675805908621972e-06,7.974957700549532547e+02
8.187919463087247607e+00,-4.536624705465339957e+01,1.003395660460854856e+03,2.416322643313304073e-06,7.974957694936946382e+02
8.322147651006710944e+00,-4.534981044746942302e+01,1.010107064674538265e+03,2.222980729745049772e-06,7.974957689278006683e+02
8.456375838926174282e+00,-4.533348267141529675e+01,1.016818473502931511e+03,2.086733825466569944e-06,7.974957683572641827e+02
8.590604026845637620e+00,-4.531726229247149718e+01,1.023529887819097894e+03,1.991722791170991504e-06,7.974957677820783601e+02
8.724832214765100957e+00,-4.530114794176403592e+01,1.030241293974195514e+03,1.926477538391797358e-06,7.974957672022359247e+02
8.859060402684564295e+00,-4.528513815369338857e+01,1.036952704055681579e+03,1.882707282789254437e-06,7.974957666177313058e+02
8.993288590604027632e+00,-4.526923197103975127e+01,1.043664122811842617e+03,1.854422208541519248e-06,7.974957660285560905e+02
9.127516778523489194e+00,-4.525342724392930904e+01,1.050375534015704488e+03,1.837297340511517751e-06,7.974957654347031166e+02
9.261744966442952531e+00,-4.523772340912296386e+01,1.057086943339324080e+03,1.828211427373663051e-06,7.974957648361654492e+02
9.395973154362415869e+00,-4.522211895600629106e+01,1.063798357069479152e+03,1.824913116479778971e-06,7.974957642329371765e+02
9.530201342281879207e+00,-4.520661267230000391e+01,1.070509753935011076e+03,1.825779371024053806e-06,7.974957636250104542e+02
9.664429530201342544e+00,-4.519120323922068394e+01,1.077221174598191965e+03,1.829640724685205552e-06,7.974957630123795980e+02
9.798657718120805882e+00,-4.517588956547091783e+01,1.083932570715677912e+03,1.835654974386274970e-06,7.974957623950365360e+02
9.932885906040269219e+00,-4.516067023348725229e+01,1.090643990652341699e+03,1.843215905849210224e-06,7.974957617729733101e+02
1.006711409395973078e+01,-4.514554455703816416e+01,1.097355391556859331e+03,1.851887406666659883e-06,7.974957611461860552e+02
1.020134228187919412e+01,-4.513051090737351245e+01,1.104066807888893436e+03,1.861355875000300066e-06,7.974957605146651076e+02
