year,time_since_2000,C_atm_PgC,C_active_PgC,C_deep_PgC,T_surface_C,CO2_ppm
2061.7,61.7,1173.601265529081,161.28382611301728,799.8250592013651,-45.05145493892177,553.585502608057
2061.8,61.800000000000004,1174.7243593622206,161.2729348331242,799.8250592012331,-45.04909869960158,554.115263850104
2061.9,61.900000000000006,1175.848619178133,161.26204183638205,799.825059201101,-45.046742380539115,554.645575084025
2062.0,62.0,1176.9740477290582,161.25114712265324,799.8250592009688,-45.04438597830053,555.1764376080463
2062.1,62.1,1178.100647767237,161.24025069180013,799.8250592008363,-45.04202948945198,555.7078527203947
2062.2,62.2,1179.2284220449098,161.2293525436851,799.8250592007038,-45.039672910559624,556.2398217192971
2062.3,62.300000000000004,1180.3573733143169,161.21845267817056,799.825059200571,-45.037316238189625,556.7723459029796
2062.4,62.400000000000006,1181.4875043276986,161.20755109511887,799.8250592004381,-45.03495946890813,557.3054265696692
2062.5,62.5,1182.6188178372954,161.19664779439242,799.8250592003051,-45.0326025992813,557.8390650175921
2062.6,62.6,1183.751316595348,161.18574277585358,799.8250592001718,-45.030245625875295,558.3732625449754
2062.7,62.7,1184.8850033540966,161.17483603936475,799.8250592000385,-45.02788854525627,558.9080204500456
2062.8,62.800000000000004,1186.0198808657815,161.16392758478827,799.8250591999049,-45.025531353990374,559.4433400310289
2062.9,62.900000000000006,1187.1559518826432,161.15301741198658,799.8250591997712,-45.023174048643774,559.9792225861524
2063.0,63.0,1188.293219156922,161.14210552082204,799.8250591996374,-45.02081662578262,560.5156694136425
2063.1,63.1,1189.4316854408587,161.131191911157,799.8250591995034,-45.01845908197308,561.0526818117257
2063.2,63.2,1190.5713534866934,161.1202765828539,799.8250591993692,-45.0161014137813,561.5902610786289
2063.3,63.300000000000004,1191.7122260466667,161.10935953577507,799.8250591992349,-45.013743617773436,562.1284085125786
2063.4,63.400000000000006,1192.8543058730188,161.0984407697829,799.8250591991005,-45.01138569051565,562.6671254118013
2063.5,63.5,1193.99759571799,161.08752028473984,799.8250591989658,-45.0090276285741,563.2064130745235
2063.6,63.6,1195.1420983338212,161.07659808050818,799.825059198831,-45.00666942851494,563.7462727989722
2063.7,63.7,1196.2878164727524,161.06567415695034,799.8250591986961,-45.00431108690433,564.2867058833738
2063.8,63.800000000000004,1197.4347528870244,161.05474851392867,799.825059198561,-45.00195260030842,564.8277136259549
2063.9,63.900000000000006,1198.5829103288772,161.04382115130562,799.8250591984257,-44.99959396529337,565.3692973249421
2064.0,64.0,1199.7322915505513,161.03289206894354,799.8250591982903,-44.99723517842534,565.9114582785619
2064.1,64.10000000000001,1200.8828993042875,161.02196126670478,799.8250591981547,-44.99487623627049,566.4541977850413
2064.2,64.2,1202.0347363584401,161.01102874442503,799.825059198019,-44.99251713547331,566.9975171502076
2064.3,64.3,1203.1878065782698,161.0000945001204,799.825059197883,-44.99015787801068,567.541418197297
2064.4,64.4,1204.3421134564596,160.98915853242505,799.8250591977469,-44.98779846404826,568.0859025738017
2064.5,64.5,1205.497659832165,160.97822084105718,799.8250591976107,-44.98543889057475,568.6309716189458
2064.6,64.60000000000001,1206.6544485445415,160.967281425735,799.8250591974743,-44.98307915457882,569.1766266719535
2064.7,64.7,1207.8124824327444,160.9563402861767,799.8250591973377,-44.98071925304914,569.7228690720492
2064.8,64.8,1208.9717643359293,160.94539742210054,799.8250591972011,-44.978359182974394,570.2697001584572
2064.9,64.9,1210.1322970932517,160.93445283322467,799.8250591970642,-44.97599894134325,570.8171212704017
2065.0,65.0,1211.2940835438671,160.92350651926733,799.8250591969271,-44.9736385251444,571.3651337471072
2065.1,65.10000000000001,1212.4571265269312,160.91255847994677,799.82505919679,-44.97127793136651,571.9137389277977
2065.2,65.2,1213.6214288815988,160.9016087149811,799.8250591966525,-44.96891715699826,572.4629381516976
2065.3,65.3,1214.7869934470261,160.8906572240886,799.8250591965151,-44.96655619902833,573.0127327580311
2065.4,65.4,1215.9538230623684,160.87970400698748,799.8250591963774,-44.96419505444539,573.5631240860229
2065.5,65.5,1217.1219205667808,160.8687490633959,799.8250591962395,-44.96183372023813,574.1141134748966
2065.6,65.60000000000001,1218.2912887994191,160.85779239303213,799.8250591961015,-44.959472193395214,574.6657022638769
2065.7,65.7,1219.4619305994388,160.84683399561433,799.8250591959634,-44.95711047090533,575.2178917921881
2065.8,65.8,1220.6338488059953,160.83587387086075,799.825059195825,-44.95474854975714,575.7706833990544
2065.9,65.9,1221.8070462582443,160.82491201848956,799.8250591956865,-44.952386426939334,576.3240784237001
2066.0,66.0,1222.9815257953408,160.813948438219,799.8250591955479,-44.95002409944059,576.8780782053494
2066.1,66.10000000000001,1224.1572902564408,160.80298312976726,799.825059195409,-44.94766156424958,577.4326840832267
2066.2,66.2,1225.3343424806992,160.79201609285252,799.82505919527,-44.945298818354985,577.9878973965561
2066.3,66.3,1226.512685307272,160.78104732719305,799.8250591951308,-44.94293585874547,578.5437194845622
2066.4,66.4,1227.6923215753147,160.77007683250704,799.8250591949916,-44.94057268240973,579.1001516864692
2066.5,66.5,1228.8732541239822,160.75910460851267,799.8250591948521,-44.93820928633643,579.657195341501
2066.6,66.60000000000001,1230.0554857924308,160.7481306549282,799.8250591947124,-44.93584566751425,580.2148517888824
2066.7,66.7,1231.2390194198151,160.73715497147177,799.8250591945726,-44.933481822931874,580.7731223678373
2066.8,66.8,1232.4238578452912,160.72617755786163,799.8250591944326,-44.93111774957797,581.3320084175901
2066.9,66.9,1233.6100039080145,160.715198413816,799.8250591942925,-44.92875344444122,581.8915112773653
2067.0,67.0,1234.7974604471403,160.70421753905308,799.8250591941521,-44.9263889045103,582.4516322863869
2067.1,67.10000000000001,1235.9862303018242,160.69323493329105,799.8250591940117,-44.92402412677389,583.0123727838793
2067.2,67.2,1237.1763163112216,160.68225059624817,799.8250591938711,-44.92165910822065,583.5737341090668
2067.3,67.3,1238.3677213144879,160.6712645276426,799.8250591937302,-44.919293845839285,584.1357176011735
2067.4,67.4,1239.560448150779,160.66027672719258,799.8250591935893,-44.916928336618454,584.698324599424
2067.5,67.5,1240.7544996592499,160.6492871946163,799.825059193448,-44.91456257754684,585.2615564430423
2067.6,67.60000000000001,1241.9498786790562,160.63829592963197,799.8250591933067,-44.91219656561312,585.8254144712529
2067.7,67.7,1243.1465880493536,160.62730293195781,799.8250591931653,-44.90983029780597,586.38990002328
2067.8,67.8,1244.3446306092972,160.61630820131205,799.8250591930237,-44.90746377111407,586.9550144383477
2067.9,67.9,1245.5440091980429,160.60531173741285,799.8250591928819,-44.90509698252609,587.5207590556806
2068.0,68.0,1246.7447266547458,160.59431353997846,799.8250591927399,-44.902729929030706,588.0871352145027
2068.1,68.10000000000001,1247.946785818562,160.58331360872705,799.8250591925977,-44.90036260761661,588.6541442540386
2068.2,68.2,1249.150189528646,160.5723119433769,799.8250591924555,-44.897995015272464,589.2217875135123
2068.3,68.3,1250.3549407206476,160.56130854352128,799.8250591923129,-44.89562714930708,589.790066377664
2068.4,68.4,1251.5610432383646,160.55030340757895,799.8250591921702,-44.89325901004213,590.3589826596059
2068.5,68.5,1252.768500282555,160.53929653480037,799.8250591920274,-44.890890595665944,590.9285378691296
2068.6,68.60000000000001,1253.977314812159,160.52828792474875,799.8250591918844,-44.8885219035646,591.4987334019618
