time,C_atm,C_active,C_deep,T_s,forcing
9.490000000000000568e+01,1.229595133542060921e+03,1.512071944011103426e+02,7.974868174880571132e+02,-4.487673449630415945e+01,1.425499999999999901e+01
9.500000000000000000e+01,1.229759410613030695e+03,1.511968126486729886e+02,7.974868174879136404e+02,-4.487634921571760316e+01,1.425000000000000000e+01
9.510000000000000853e+01,1.229922859629000868e+03,1.511864312277891429e+02,7.974868174877700540e+02,-4.487596577316593027e+01,1.424499999999999922e+01
9.520000000000000284e+01,1.230085482242865510e+03,1.511760501402962973e+02,7.974868174876264675e+02,-4.487558416422890417e+01,1.424000000000000021e+01
9.530000000000001137e+01,1.230247280103936873e+03,1.511656693880264015e+02,7.974868174874828810e+02,-4.487520438450962956e+01,1.423499999999999943e+01
9.540000000000000568e+01,1.230408254858157306e+03,1.511552889728066305e+02,7.974868174873392945e+02,-4.487482642962405777e+01,1.423000000000000043e+01
9.550000000000000000e+01,1.230568408148100843e+03,1.511449088964594694e+02,7.974868174871955944e+02,-4.487445029520100093e+01,1.422499999999999964e+01
9.560000000000000853e+01,1.230727741612972750e+03,1.511345291608025150e+02,7.974868174870518942e+02,-4.487407597688211780e+01,1.421999999999999886e+01
9.570000000000000284e+01,1.230886256888608614e+03,1.511241497676487597e+02,7.974868174869081940e+02,-4.487370347032192797e+01,1.421499999999999986e+01
9.580000000000001137e+01,1.231043955607475709e+03,1.511137707188062507e+02,7.974868174867644939e+02,-4.487333277118780472e+01,1.420999999999999908e+01
9.590000000000000568e+01,1.231200839398671860e+03,1.511033920160783737e+02,7.974868174866206800e+02,-4.487296387515996798e+01,1.420500000000000007e+01
9.600000000000000000e+01,1.231356909887925895e+03,1.510930136612637682e+02,7.974868174864769799e+02,-4.487259677793151269e+01,1.419999999999999929e+01
9.610000000000000853e+01,1.231512168697598327e+03,1.510826356561562136e+02,7.974868174863331660e+02,-4.487223147520835909e+01,1.419500000000000028e+01
9.620000000000000284e+01,1.231666617446680220e+03,1.510722580025447996e+02,7.974868174861892385e+02,-4.487186796270929534e+01,1.418999999999999950e+01
9.630000000000001137e+01,1.231820257750793417e+03,1.510618807022138412e+02,7.974868174860454246e+02,-4.487150623616597045e+01,1.418499999999999872e+01
9.640000000000000568e+01,1.231973091222191215e+03,1.510515037569427932e+02,7.974868174859014971e+02,-4.487114629132288002e+01,1.417999999999999972e+01
9.650000000000000000e+01,1.232125119469757692e+03,1.510411271685065060e+02,7.974868174857575696e+02,-4.487078812393738048e+01,1.417500000000000071e+01
9.660000000000000853e+01,1.232276344103257770e+03,1.510307509386819618e+02,7.974868174856137557e+02,-4.487043172979952033e+01,1.416999999999999993e+01
9.670000000000000284e+01,1.232426766731561429e+03,1.510203750692457163e+02,7.974868174854697145e+02,-4.487007710472377653e+01,1.416499999999999915e+01
9.680000000000001137e+01,1.232576388955394577e+03,1.510099995619613651e+02,7.974868174853257869e+02,-4.486972424451516872e+01,1.416000000000000014e+01
9.690000000000000568e+01,1.232725212372202350e+03,1.509996244185880698e+02,7.974868174851817457e+02,-4.486937314499198237e+01,1.415499999999999936e+01
9.700000000000000000e+01,1.232873238576172980e+03,1.509892496408803026e+02,7.974868174850377045e+02,-4.486902380198587537e+01,1.415000000000000036e+01
9.710000000000000853e+01,1.233020469158237120e+03,1.509788752305880166e+02,7.974868174848935496e+02,-4.486867621134188511e+01,1.414499999999999957e+01
9.720000000000000284e+01,1.233166905706068064e+03,1.509685011894565321e+02,7.974868174847495084e+02,-4.486833036891842852e+01,1.414000000000000057e+01
9.730000000000001137e+01,1.233312549804082209e+03,1.509581275192266219e+02,7.974868174846053535e+02,-4.486798627058728783e+01,1.413499999999999979e+01
9.740000000000000568e+01,1.233457403033438823e+03,1.509477542216344546e+02,7.974868174844611985e+02,-4.486764391223363901e+01,1.412999999999999901e+01
9.750000000000000000e+01,1.233601466972039134e+03,1.509373812984116512e+02,7.974868174843170436e+02,-4.486730328975600912e+01,1.412500000000000000e+01
9.760000000000000853e+01,1.233744743194528155e+03,1.509270087512852285e+02,7.974868174841728887e+02,-4.486696439906632605e+01,1.411999999999999922e+01
9.770000000000000284e+01,1.233887233272293088e+03,1.509166365819776274e+02,7.974868174840286201e+02,-4.486662723608988301e+01,1.411500000000000021e+01
9.780000000000001137e+01,1.234028938773464006e+03,1.509062647922067129e+02,7.974868174838844652e+02,-4.486629179676535273e+01,1.410999999999999943e+01
9.790000000000000568e+01,1.234169861262913628e+03,1.508958933836857454e+02,7.974868174837401966e+02,-4.486595807704477323e+01,1.410500000000000043e+01
9.800000000000000000e+01,1.234310002302257544e+03,1.508855223581234384e+02,7.974868174835958143e+02,-4.486562607289356919e+01,1.409999999999999964e+01
9.810000000000000853e+01,1.234449363449922430e+03,1.508751517172240426e+02,7.974868174834515457e+02,-4.486529578029040266e+01,1.409499999999999886e+01
9.820000000000000284e+01,1.234587946266533663e+03,1.508647814626971808e+02,7.974868174833071635e+02,-4.486496719521613841e+01,1.408999999999999986e+01
9.830000000000001137e+01,1.234725752308628444e+03,1.508544115962463650e+02,7.974868174831627812e+02,-4.486464031366672600e+01,1.408499999999999908e+01
9.840000000000000568e+01,1.234862783126554859e+03,1.508440421195652164e+02,7.974868174830183989e+02,-4.486431513165748441e+01,1.408000000000000007e+01
9.850000000000000000e+01,1.234999040267504824e+03,1.508336730343429508e+02,7.974868174828740166e+02,-4.486399164521689897e+01,1.407499999999999929e+01
9.860000000000000853e+01,1.235134525275514534e+03,1.508233043422643220e+02,7.974868174827295206e+02,-4.486366985038664268e+01,1.407000000000000028e+01
9.870000000000000284e+01,1.235269239691464009e+03,1.508129360450097920e+02,7.974868174825851384e+02,-4.486334974322153357e+01,1.406499999999999950e+01
9.880000000000001137e+01,1.235403185053076641e+03,1.508025681442553037e+02,7.974868174824406424e+02,-4.486303131978957737e+01,1.405999999999999872e+01
9.890000000000000568e+01,1.235536362894920103e+03,1.507922006416725367e+02,7.974868174822961464e+02,-4.486271457617193192e+01,1.405499999999999972e+01
9.900000000000000000e+01,1.235668774748405667e+03,1.507818335389287085e+02,7.974868174821516504e+02,-4.486239950846294988e+01,1.405000000000000071e+01
9.910000000000000853e+01,1.235800422141788658e+03,1.507714668376865745e+02,7.974868174820070408e+02,-4.486208611277012182e+01,1.404499999999999993e+01
9.920000000000000284e+01,1.235931306600168000e+03,1.507611005396046266e+02,7.974868174818625448e+02,-4.486177438521414018e+01,1.403999999999999915e+01
9.930000000000001137e+01,1.236061429645486442e+03,1.507507346463368378e+02,7.974868174817179352e+02,-4.486146432192883537e+01,1.403500000000000014e+01
